method,id,psnr,ssim,mae
SupUps,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90,33.467132568359375,0.8501423001289368,0.013928607106208801
SupUps,01_0011ecff-6266-4895-b73c-5766d7109485,37.997501373291016,0.9103533625602722,0.00803808867931366
SupUps,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98,29.83417510986328,0.8297976851463318,0.02105007879436016
SupUps,03_01faa991-61f5-40be-ba65-ce64ae42befc,37.911231994628906,0.9253029823303223,0.008564668707549572
SupUps,04_037e70af-62b9-4bd8-9d24-25133b5d5239,33.530174255371094,0.8264309763908386,0.014779426157474518
SupUps,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70,26.18082046508789,0.7174189686775208,0.03779846057295799
SupUps,06_03f56ac9-b513-4476-bd25-665cd3e72244,34.989925384521484,0.8031384944915771,0.012928972952067852
SupUps,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25,25.69059181213379,0.7841420769691467,0.02967647649347782
SupUps,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097,24.234010696411133,0.6712610125541687,0.03265475854277611
SupUps,09_04e95b19-8f60-4f84-9cd1-0582adb58578,28.558950424194336,0.8148694038391113,0.019701089709997177
SupUps,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63,41.709564208984375,0.9625296592712402,0.0055956970900297165
SupUps,11_0529de7c-4883-49ef-b2f1-124b1c665024,23.656827926635742,0.6409034132957458,0.04254889488220215
Real-ESRGAN x4,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90,32.48721694946289,0.8390669822692871,0.015527348965406418
Real-ESRGAN x4,01_0011ecff-6266-4895-b73c-5766d7109485,34.962650299072266,0.8622794151306152,0.010892980732023716
Real-ESRGAN x4,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98,27.56317901611328,0.8024442195892334,0.02599649876356125
Real-ESRGAN x4,03_01faa991-61f5-40be-ba65-ce64ae42befc,31.80650520324707,0.8877351880073547,0.014145390130579472
Real-ESRGAN x4,04_037e70af-62b9-4bd8-9d24-25133b5d5239,32.3010139465332,0.8145065903663635,0.016947630792856216
Real-ESRGAN x4,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70,22.3232421875,0.5841510891914368,0.05716420337557793
Real-ESRGAN x4,06_03f56ac9-b513-4476-bd25-665cd3e72244,34.60710144042969,0.787982165813446,0.013880748301744461
Real-ESRGAN x4,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25,25.874065399169922,0.7583556175231934,0.030324960127472878
Real-ESRGAN x4,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097,24.839035034179688,0.6749425530433655,0.03154832497239113
Real-ESRGAN x4,09_04e95b19-8f60-4f84-9cd1-0582adb58578,27.462554931640625,0.813174307346344,0.03261997923254967
Real-ESRGAN x4,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63,33.91337585449219,0.9382597804069519,0.011354651302099228
Real-ESRGAN x4,11_0529de7c-4883-49ef-b2f1-124b1c665024,22.86569595336914,0.5807920098304749,0.04809333756566048
PiD-Flux native 2k,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90,28.407318115234375,0.7328727841377258,0.02213982678949833
PiD-Flux native 2k,01_0011ecff-6266-4895-b73c-5766d7109485,32.11833572387695,0.8637714385986328,0.013291913084685802
PiD-Flux native 2k,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98,22.960424423217773,0.6085817813873291,0.042250875383615494
PiD-Flux native 2k,03_01faa991-61f5-40be-ba65-ce64ae42befc,31.62540626525879,0.8496906757354736,0.014579015783965588
PiD-Flux native 2k,04_037e70af-62b9-4bd8-9d24-25133b5d5239,29.95669937133789,0.7598565220832825,0.020216993987560272
PiD-Flux native 2k,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70,18.166080474853516,0.29896047711372375,0.09224196523427963
PiD-Flux native 2k,06_03f56ac9-b513-4476-bd25-665cd3e72244,32.284271240234375,0.7018380165100098,0.017975768074393272
PiD-Flux native 2k,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25,20.192237854003906,0.5908980965614319,0.05270685628056526
PiD-Flux native 2k,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097,20.803123474121094,0.5972464084625244,0.04379197955131531
PiD-Flux native 2k,09_04e95b19-8f60-4f84-9cd1-0582adb58578,23.02762794494629,0.665045976638794,0.039377834647893906
PiD-Flux native 2k,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63,33.915122985839844,0.9016273617744446,0.014419971965253353
PiD-Flux native 2k,11_0529de7c-4883-49ef-b2f1-124b1c665024,20.073461532592773,0.44924378395080566,0.06316766142845154
