domain,id,method,lpips,dists
photo,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90_low,Bicubic,0.6509438157081604,0.1723928451538086
photo,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90_low,Lanczos,0.6657316088676453,0.17484331130981445
photo,01_0011ecff-6266-4895-b73c-5766d7109485_low,Bicubic,0.3492516577243805,0.15004587173461914
photo,01_0011ecff-6266-4895-b73c-5766d7109485_low,Lanczos,0.35213568806648254,0.15049076080322266
photo,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98_low,Bicubic,0.3884449601173401,0.15256202220916748
photo,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98_low,Lanczos,0.42313605546951294,0.1578000783920288
photo,03_01faa991-61f5-40be-ba65-ce64ae42befc_low,Bicubic,0.19526763260364532,0.13982415199279785
photo,03_01faa991-61f5-40be-ba65-ce64ae42befc_low,Lanczos,0.20063969492912292,0.142550528049469
photo,04_037e70af-62b9-4bd8-9d24-25133b5d5239_low,Bicubic,0.4547286033630371,0.13834524154663086
photo,04_037e70af-62b9-4bd8-9d24-25133b5d5239_low,Lanczos,0.47006678581237793,0.1369926929473877
photo,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70_low,Bicubic,0.40781736373901367,0.12194406986236572
photo,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70_low,Lanczos,0.45656618475914,0.12960374355316162
photo,06_03f56ac9-b513-4476-bd25-665cd3e72244_low,Bicubic,0.6137183904647827,0.2542005777359009
photo,06_03f56ac9-b513-4476-bd25-665cd3e72244_low,Lanczos,0.603982150554657,0.2555130124092102
photo,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25_low,Bicubic,0.4573515057563782,0.20950496196746826
photo,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25_low,Lanczos,0.49911656975746155,0.22412621974945068
photo,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097_low,Bicubic,0.6068629622459412,0.2829829454421997
photo,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097_low,Lanczos,0.6120761632919312,0.28110742568969727
photo,09_04e95b19-8f60-4f84-9cd1-0582adb58578_low,Bicubic,0.593887984752655,0.17632579803466797
photo,09_04e95b19-8f60-4f84-9cd1-0582adb58578_low,Lanczos,0.6155725121498108,0.17542386054992676
photo,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63_low,Bicubic,0.08231578022241592,0.06583791971206665
photo,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63_low,Lanczos,0.0810215026140213,0.06514942646026611
photo,11_0529de7c-4883-49ef-b2f1-124b1c665024_low,Bicubic,0.6607055068016052,0.20672178268432617
photo,11_0529de7c-4883-49ef-b2f1-124b1c665024_low,Lanczos,0.6812618970870972,0.21044611930847168
anime,00_low,Bicubic,0.2539929747581482,0.13525307178497314
anime,00_low,Lanczos,0.24699045717716217,0.12817955017089844
anime,01_low,Bicubic,0.039537571370601654,0.031154751777648926
anime,01_low,Lanczos,0.04274400323629379,0.03254497051239014
anime,02_low,Bicubic,0.3755972385406494,0.1500544548034668
anime,02_low,Lanczos,0.36977288126945496,0.14827311038970947
anime,04_low,Bicubic,0.31731200218200684,0.13066023588180542
anime,04_low,Lanczos,0.3069075345993042,0.13316142559051514
anime,06_low,Bicubic,0.47666603326797485,0.1470942497253418
anime,06_low,Lanczos,0.47371140122413635,0.15056681632995605
anime,08_low,Bicubic,0.3211333453655243,0.14498096704483032
anime,08_low,Lanczos,0.3188698887825012,0.14309656620025635
anime,09_low,Bicubic,0.1717527061700821,0.10154259204864502
anime,09_low,Lanczos,0.18093007802963257,0.10837841033935547
anime,10_low,Bicubic,0.30221301317214966,0.1498875617980957
anime,10_low,Lanczos,0.30423569679260254,0.14742285013198853
anime,11_low,Bicubic,0.17388132214546204,0.09501415491104126
anime,11_low,Lanczos,0.17416636645793915,0.1021190881729126
anime,12_low,Bicubic,0.5541173219680786,0.15226024389266968
anime,12_low,Lanczos,0.5438235998153687,0.1545141339302063
anime,13_low,Bicubic,0.32464951276779175,0.13742727041244507
anime,13_low,Lanczos,0.3204538822174072,0.14346659183502197
anime,14_low,Bicubic,0.23606090247631073,0.12776005268096924
anime,14_low,Lanczos,0.22940568625926971,0.1293025016784668
