domain,id,method,psnr,ssim,mae
photo,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90_low,LARP-Scaler,32.388404846191406,0.7693381309509277,0.018020275980234146
photo,01_0011ecff-6266-4895-b73c-5766d7109485_low,LARP-Scaler,39.9642219543457,0.9294312000274658,0.007301026955246925
photo,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98_low,LARP-Scaler,27.667709350585938,0.8001101613044739,0.028575986623764038
photo,03_01faa991-61f5-40be-ba65-ce64ae42befc_low,LARP-Scaler,40.3714599609375,0.9445899128913879,0.0069816443137824535
photo,04_037e70af-62b9-4bd8-9d24-25133b5d5239_low,LARP-Scaler,33.24188232421875,0.8476808071136475,0.015724940225481987
photo,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70_low,LARP-Scaler,25.738292694091797,0.7291665077209473,0.04011669382452965
photo,06_03f56ac9-b513-4476-bd25-665cd3e72244_low,LARP-Scaler,32.524803161621094,0.6770632863044739,0.018008342012763023
photo,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25_low,LARP-Scaler,22.314697265625,0.6698045134544373,0.05319925770163536
photo,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097_low,LARP-Scaler,33.17815399169922,0.6858367323875427,0.01739412732422352
photo,09_04e95b19-8f60-4f84-9cd1-0582adb58578_low,LARP-Scaler,31.847455978393555,0.7990061640739441,0.016843434423208237
photo,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63_low,LARP-Scaler,39.860069274902344,0.9616572260856628,0.006549999583512545
photo,11_0529de7c-4883-49ef-b2f1-124b1c665024_low,LARP-Scaler,22.707138061523438,0.6391398310661316,0.0490097850561142
photo,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90_low,Real-ESRGAN,31.469707489013672,0.7513070106506348,0.0197103600949049
photo,01_0011ecff-6266-4895-b73c-5766d7109485_low,Real-ESRGAN,36.17713165283203,0.924831211566925,0.009986943565309048
photo,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98_low,Real-ESRGAN,23.890480041503906,0.746650755405426,0.04134473204612732
photo,03_01faa991-61f5-40be-ba65-ce64ae42befc_low,Real-ESRGAN,38.09794616699219,0.9431999325752258,0.008322990499436855
photo,04_037e70af-62b9-4bd8-9d24-25133b5d5239_low,Real-ESRGAN,31.463727951049805,0.8384321331977844,0.017892001196742058
photo,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70_low,Real-ESRGAN,21.714839935302734,0.581779420375824,0.06302109360694885
photo,06_03f56ac9-b513-4476-bd25-665cd3e72244_low,Real-ESRGAN,32.173954010009766,0.6676023006439209,0.018826676532626152
photo,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25_low,Real-ESRGAN,23.013935089111328,0.6774826049804688,0.04902280494570732
photo,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097_low,Real-ESRGAN,31.856407165527344,0.680569589138031,0.020231619477272034
photo,09_04e95b19-8f60-4f84-9cd1-0582adb58578_low,Real-ESRGAN,31.485004425048828,0.7988130450248718,0.019595254212617874
photo,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63_low,Real-ESRGAN,33.06276321411133,0.9360077381134033,0.013672220520675182
photo,11_0529de7c-4883-49ef-b2f1-124b1c665024_low,Real-ESRGAN,21.284828186035156,0.5580653548240662,0.059940189123153687
photo,000ffd84-5baa-410f-bcd4-f573b3ef1e90,LUA,21.791685104370117,0.39290252327919006,0.06326960027217865
photo,0011ecff-6266-4895-b73c-5766d7109485,LUA,23.16440773010254,0.6721335053443909,0.057176679372787476
photo,001cc747-cbf3-48ee-be38-b20bbdaf9e98,LUA,16.742691040039062,0.2793739438056946,0.120406873524189
photo,01faa991-61f5-40be-ba65-ce64ae42befc,LUA,24.08456802368164,0.6538562774658203,0.05166352912783623
photo,037e70af-62b9-4bd8-9d24-25133b5d5239,LUA,18.74833106994629,0.42800459265708923,0.09516489505767822
photo,03c4de9f-8ba2-48b8-b8c6-ac993fb47f70,LUA,16.02190399169922,0.22858500480651855,0.12673123180866241
photo,03f56ac9-b513-4476-bd25-665cd3e72244,LUA,23.497106552124023,0.44892778992652893,0.054110463708639145
photo,04c9b3fc-cdd5-40e3-9306-46da4c1b3b25,LUA,14.076332092285156,0.16456563770771027,0.15676581859588623
photo,04cfacf2-6f2a-49b9-ae66-6b1416d61097,LUA,21.822776794433594,0.49979889392852783,0.07149441540241241
photo,04e95b19-8f60-4f84-9cd1-0582adb58578,LUA,19.871164321899414,0.4101655185222626,0.08380373567342758
photo,050ae8db-c0b7-486d-9fe5-d3ec06437a63,LUA,20.46044158935547,0.5422081351280212,0.07512909173965454
photo,0529de7c-4883-49ef-b2f1-124b1c665024,LUA,14.361547470092773,0.1648692935705185,0.15391723811626434
photo,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90_low,Bicubic,32.71473693847656,0.7843458652496338,0.016988417133688927
photo,00_000ffd84-5baa-410f-bcd4-f573b3ef1e90_low,Lanczos,32.83921432495117,0.7886950373649597,0.01685403659939766
photo,01_0011ecff-6266-4895-b73c-5766d7109485_low,Bicubic,40.84358215332031,0.9430286288261414,0.006163952872157097
photo,01_0011ecff-6266-4895-b73c-5766d7109485_low,Lanczos,41.024803161621094,0.9431627988815308,0.006146335508674383
photo,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98_low,Bicubic,29.006128311157227,0.8538367748260498,0.02343652956187725
photo,02_001cc747-cbf3-48ee-be38-b20bbdaf9e98_low,Lanczos,29.35736846923828,0.8659738302230835,0.02260778099298477
photo,03_01faa991-61f5-40be-ba65-ce64ae42befc_low,Bicubic,42.35009765625,0.9630988836288452,0.0047257873229682446
photo,03_01faa991-61f5-40be-ba65-ce64ae42befc_low,Lanczos,42.57561492919922,0.9635509252548218,0.004694785922765732
photo,04_037e70af-62b9-4bd8-9d24-25133b5d5239_low,Bicubic,34.111000061035156,0.872495174407959,0.013607308268547058
photo,04_037e70af-62b9-4bd8-9d24-25133b5d5239_low,Lanczos,34.32167434692383,0.8742989301681519,0.013483199290931225
photo,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70_low,Bicubic,29.132274627685547,0.8538482189178467,0.026864245533943176
photo,05_03c4de9f-8ba2-48b8-b8c6-ac993fb47f70_low,Lanczos,29.58755111694336,0.870144248008728,0.025617113336920738
photo,06_03f56ac9-b513-4476-bd25-665cd3e72244_low,Bicubic,32.83112716674805,0.6904693841934204,0.01728271134197712
photo,06_03f56ac9-b513-4476-bd25-665cd3e72244_low,Lanczos,32.84764862060547,0.6920371055603027,0.01725837215781212
photo,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25_low,Bicubic,23.488645553588867,0.7377723455429077,0.04486573487520218
photo,07_04c9b3fc-cdd5-40e3-9306-46da4c1b3b25_low,Lanczos,23.740575790405273,0.754290759563446,0.04393019899725914
photo,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097_low,Bicubic,33.62657928466797,0.7003950476646423,0.01664835587143898
photo,08_04cfacf2-6f2a-49b9-ae66-6b1416d61097_low,Lanczos,33.630462646484375,0.7013148069381714,0.016638431698083878
photo,09_04e95b19-8f60-4f84-9cd1-0582adb58578_low,Bicubic,32.920814514160156,0.8282281160354614,0.014401189982891083
photo,09_04e95b19-8f60-4f84-9cd1-0582adb58578_low,Lanczos,33.034358978271484,0.833008885383606,0.0142974853515625
photo,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63_low,Bicubic,44.7081184387207,0.9823386073112488,0.00356987863779068
photo,10_050ae8db-c0b7-486d-9fe5-d3ec06437a63_low,Lanczos,44.9948844909668,0.9824425578117371,0.003532868344336748
photo,11_0529de7c-4883-49ef-b2f1-124b1c665024_low,Bicubic,23.096576690673828,0.6875946521759033,0.044619105756282806
photo,11_0529de7c-4883-49ef-b2f1-124b1c665024_low,Lanczos,23.254318237304688,0.7004696726799011,0.044116899371147156
anime,00_low,LARP-Scaler,28.258764266967773,0.895214319229126,0.019185444340109825
anime,01_low,LARP-Scaler,38.91197967529297,0.9771414399147034,0.007339248433709145
anime,02_low,LARP-Scaler,25.14889144897461,0.8284915089607239,0.027050523087382317
anime,04_low,LARP-Scaler,27.591976165771484,0.879923403263092,0.019704366102814674
anime,06_low,LARP-Scaler,21.261699676513672,0.7187399864196777,0.04528069868683815
anime,08_low,LARP-Scaler,27.160877227783203,0.8746654391288757,0.02339681051671505
anime,09_low,LARP-Scaler,32.434600830078125,0.9020516276359558,0.016160910949110985
anime,10_low,LARP-Scaler,30.31106948852539,0.8733201622962952,0.01680799573659897
anime,11_low,LARP-Scaler,32.325748443603516,0.9223617911338806,0.014935072511434555
anime,12_low,LARP-Scaler,21.792211532592773,0.629360556602478,0.0494488961994648
anime,13_low,LARP-Scaler,26.242494583129883,0.8672559857368469,0.027114039286971092
anime,14_low,LARP-Scaler,29.831897735595703,0.9036577343940735,0.019358286634087563
anime,00_low,Real-ESRGAN,28.347850799560547,0.9160760045051575,0.020536942407488823
anime,01_low,Real-ESRGAN,24.912437438964844,0.8861657977104187,0.02705145813524723
anime,02_low,Real-ESRGAN,26.525634765625,0.8651586174964905,0.023759813979268074
anime,04_low,Real-ESRGAN,29.986980438232422,0.9261394143104553,0.016452118754386902
anime,06_low,Real-ESRGAN,23.158912658691406,0.8128498196601868,0.0348033607006073
